module,module_sha256,symbol,elf_address,size,file_offset,code_sha256
qagame.mp.i386.so,84a7e7958952f804d65fbe6db6b4758ea0cf6b596b26a514a68de0ba3bd9ef49,props_locker_pain,0x0009edb0,90,0x0009edb0,de6729daa5f283966ecd60114d5efce4a6c339cd1e1153654b32e6ed9a18716e
qagame.mp.i386.so,84a7e7958952f804d65fbe6db6b4758ea0cf6b596b26a514a68de0ba3bd9ef49,DropToFloorG,0x0009ee10,194,0x0009ee10,4a4ffac5e8f0e06623cb1eaf846025172e1fbf4e0230e0e439d466e18b01b6d7
qagame.mp.i386.so,84a7e7958952f804d65fbe6db6b4758ea0cf6b596b26a514a68de0ba3bd9ef49,DropToFloor,0x0009eee0,254,0x0009eee0,cc6a131f48b234b36cc3865a1e035bf5a69f40bd417c1b5417f7d34126518cf4
qagame.mp.i386.so,84a7e7958952f804d65fbe6db6b4758ea0cf6b596b26a514a68de0ba3bd9ef49,PGUNsparks_use,0x0009efe0,127,0x0009efe0,a20ddd63ef5ffd7ac84a106c28f67cb35c331f10c3135edee5ff21a1a4c4f57e
qagame.mp.i386.so,84a7e7958952f804d65fbe6db6b4758ea0cf6b596b26a514a68de0ba3bd9ef49,OilSlick_remove_think,0x0009f060,73,0x0009f060,f333bfce2dcc63cf2912ec6b06ae7621efebb40d31b37fd49874ee2086206942
qagame.mp.i386.so,84a7e7958952f804d65fbe6db6b4758ea0cf6b596b26a514a68de0ba3bd9ef49,dust_angles_think,0x0009f0b0,120,0x0009f0b0,47303501133cf6fbbdf412cb7ffe03b4d1155730c410d31caa40237c58de2339
qagame.mp.i386.so,84a7e7958952f804d65fbe6db6b4758ea0cf6b596b26a514a68de0ba3bd9ef49,sparks_angles_think,0x0009f130,283,0x0009f130,22471b2234f8f3f381f7c8ea7c76df0b136b5de9a8ae7b755fc91a8a30e57b1e
qagame.mp.i386.so,84a7e7958952f804d65fbe6db6b4758ea0cf6b596b26a514a68de0ba3bd9ef49,smokedust_use,0x0009f250,187,0x0009f250,3267431a4dfd89249f31004707113773e1c85913219cdcaafca59a78c12fc55f
qagame.mp.i386.so,84a7e7958952f804d65fbe6db6b4758ea0cf6b596b26a514a68de0ba3bd9ef49,locker_tall_think,0x0009f310,80,0x0009f310,2eee75e802cf2fd195e241fc4328131beac4744740fb79b079a0e01f1dc54915
qagame.mp.i386.so,84a7e7958952f804d65fbe6db6b4758ea0cf6b596b26a514a68de0ba3bd9ef49,props_locker_tall_die,0x0009f360,76,0x0009f360,3d9d9ffe1b55bc2a459b2524dcf3d924a1bde9e587c4a49627e40634b96fee51
